DATE_TIME,PLANT_ID,SOURCE_KEY,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD
2020-05-15 06:00:00,4136001,4UPUqMRk7TRMgml,15.406666666666665,14.86,0.79999999999999993,2429011.8000000003
2020-05-15 06:15:00,4136001,4UPUqMRk7TRMgml,27.433333333333334,26.493333333333336,6.1333333333333329,2429017.1333333333
2020-05-15 06:30:00,4136001,81aHJ1q11NBPMrL,55.378571428571433,53.614285714285714,14.428571428571427,1215278750.4285715
2020-05-15 06:45:00,4136001,4UPUqMRk7TRMgml,158.01333333333335,154.48666666666668,39.466666666666669,2429050.4666666668
2020-05-15 07:00:00,4136001,81aHJ1q11NBPMrL,292.15999999999997,286.89333333333332,91.866666666666674,1215278827.8666668
2020-05-15 07:15:00,4136001,4UPUqMRk7TRMgml,393.55999999999989,386.71999999999997,185.8666666666667,2429196.8666666667
2020-05-15 07:30:00,4136001,4UPUqMRk7TRMgml,473.86666666666673,464.88666666666666,293.4666666666667,2429304.4666666668
2020-05-15 07:45:00,4136001,4UPUqMRk7TRMgml,564.08571428571429,552.82857142857131,419.64285714285717,2429430.6428571432
2020-05-15 08:00:00,4136001,9kRcWv60rDACzjR,568.5333333333333,557.16,551.80000000000007,2247720128.7999997
2020-05-15 08:15:00,4136001,81aHJ1q11NBPMrL,611.64,599.27999999999986,658.33333333333326,1215279394.333333
2020-05-15 08:30:00,4136001,4UPUqMRk7TRMgml,757.0866666666667,741.22666666666669,884.40000000000009,2429895.4
2020-05-15 08:45:00,4136001,4UPUqMRk7TRMgml,840.75333333333333,822.75333333333344,1080.8666666666668,2430091.8666666667
2020-05-15 09:00:00,4136001,4UPUqMRk7TRMgml,883.82666666666671,864.72,1291,2430302
2020-05-15 09:15:00,4136001,81aHJ1q11NBPMrL,875.11333333333334,856.26,1395.3999999999999,1215280131.3999999
2020-05-15 09:30:00,4136001,81aHJ1q11NBPMrL,885.1133333,876.27,1602.0666666666666,1215280338.0666664
2020-05-15 09:45:00,4136001,9kRcWv60rDACzjR,1048.18,1024.633333,1970.933333,2247721548
2020-05-15 10:00:00,4136001,4UPUqMRk7TRMgml,881.5266667,869.2466667,2169.5333333333333,2431180.5333333327
2020-05-15 10:15:00,4136001,IQ2d7wF4YD8zU1Q,1191.5,1161.72,2564.2666666666669,19944090.266666666
2020-05-15 10:30:00,4136001,9kRcWv60rDACzjR,1186.926666666667,1157.26,2785.9333333333334,2247722362.9333334
2020-05-15 10:45:00,4136001,IQ2d7wF4YD8zU1Q,1273.2857142857142,1241.4642857142858,3158.4285714285716,19944684.428571429
2020-05-15 11:00:00,4136001,9kRcWv60rDACzjR,1254.76,1223.3866666666665,3390.9333333333329,2247722967.9333339
2020-05-15 11:15:00,4136001,9kRcWv60rDACzjR,1257.9857142857143,1226.5285714285712,3691,2247723268
2020-05-15 11:30:00,4136001,9kRcWv60rDACzjR,1273.5933333333335,1241.7666666666667,3991.4,2247723568.4
2020-05-15 11:45:00,4136001,IQ2d7wF4YD8zU1Q,1283.5933333333335,1251.4933333333331,4432.666666666667,19945958.666666664
2020-05-15 12:00:00,4136001,IQ2d7wF4YD8zU1Q,1288.3785714285714,1256.1642857142856,4738.3571428571422,19946264.357142854
2020-05-15 12:15:00,4136001,9kRcWv60rDACzjR,1259.7933333333331,1228.2933333333335,4918.9999999999991,2247724495.9999995
2020-05-15 12:30:00,4136001,IQ2d7wF4YD8zU1Q,1304.0133333333333,1271.3933333333334,5374.0666666666666,19946900.066666666
